name,department,designation,experience,research_areas,expertise,skills,publications,projects,profile_url
Dr. Anil Kumar,Computer Science and Engineering,Professor,10,"Artificial Intelligence, Machine Learning, Computer Vision","Deep Learning, Medical Image Analysis, Computer Vision","Python, TensorFlow, OpenCV, PyTorch",Deep Learning for Medical Image Analysis; Computer Vision Based Disease Detection,AI-based Medical Image Classification; Smart Healthcare System,https://example.com/researcher
Dr. Priya Sharma,Computer Science and Engineering,Associate Professor,8,"Natural Language Processing, Generative AI","NLP, LLMs, Text Mining","Python, NLP, Transformers, PyTorch",Transformer Models for Text Classification; NLP Applications,Intelligent Document Analysis,https://example.com/researcher
Dr. Rahul Singh,Electronics and Communication Engineering,Professor,12,"IoT, Embedded Systems, Robotics","IoT, Robotics, Sensor Networks","C++, Python, Arduino, Raspberry Pi",IoT-Based Smart Systems; Autonomous Robotics,Smart Campus IoT,https://example.com/researcher
Dr. Neha Verma,Computer Science and Engineering,Assistant Professor,6,"Data Science, Machine Learning, Predictive Analytics","Data Mining, Statistical Learning, Predictive Modeling","Python, Pandas, Scikit-learn, SQL",Predictive Analytics for Student Performance; Machine Learning Applications,Student Success Prediction System,https://example.com/researcher
Dr. Arjun Mehta,Computer Science and Engineering,Professor,15,"Cybersecurity, Network Security, Blockchain","Intrusion Detection, Cryptography, Blockchain Security","Python, Java, Linux, Wireshark",Machine Learning for Intrusion Detection; Secure Blockchain Networks,AI-Based Network Threat Detection,https://example.com/researcher
Dr. Sneha Reddy,Computer Science and Engineering,Associate Professor,9,"Cloud Computing, Distributed Systems, Edge Computing","Cloud Architecture, Distributed Computing, Edge AI","Python, Java, Docker, Kubernetes, AWS",Edge Computing for Intelligent Applications,Cloud-Based AI Platform,https://example.com/researcher
Dr. Vikram Joshi,Electronics and Communication Engineering,Professor,14,"Wireless Communication, 5G, IoT","5G Networks, Wireless Sensor Networks, Communication Systems","MATLAB, Python, C++, NS3",5G Enabled IoT Communication; Wireless Sensor Networks,Smart Wireless Infrastructure,https://example.com/researcher
Dr. Aisha Khan,Computer Science and Engineering,Assistant Professor,5,"Computer Vision, Deep Learning, Image Processing","Object Detection, Image Segmentation, CNNs","Python, OpenCV, PyTorch, TensorFlow",Deep Learning for Object Detection,Real-Time Vision Analytics,https://example.com/researcher
Dr. Karan Malhotra,Computer Science and Engineering,Associate Professor,11,"Software Engineering, DevOps, Software Testing","Continuous Integration, Automated Testing, Software Quality","Java, Python, Docker, Jenkins, Git",Automated Software Testing; DevOps Practices,Intelligent CI/CD Quality Platform,https://example.com/researcher
Dr. Meera Iyer,Computer Science and Engineering,Professor,16,"Artificial Intelligence, Knowledge Representation, Expert Systems","Knowledge Graphs, Reasoning Systems, AI Planning","Python, RDF, SPARQL, Neo4j",Knowledge Graphs for Intelligent Systems,University Knowledge Graph,https://example.com/researcher
